,open,high,low,close,volume,name
2019-11-01,39.47,39.47,38.92,39.11,391487.0,PRFT
2019-11-04,39.2,39.42,37.49,37.56,541955.0,PRFT
2019-11-05,37.61,38.53,37.57,38.39,348253.0,PRFT
2019-11-06,38.29,38.29,37.2612,38.12,316305.0,PRFT
2019-11-07,39.49,39.65,36.09,38.38,627733.0,PRFT
2019-11-08,38.38,39.48,38.3,38.94,551966.0,PRFT
2019-11-11,38.64,39.71,38.29,39.68,421852.0,PRFT
2019-11-12,39.6,40.6702,39.6,40.13,337217.0,PRFT
2019-11-13,39.99,40.3,39.76,40.17,201670.0,PRFT
2019-11-14,40.27,40.97,40.1,40.78,275548.0,PRFT
2019-11-15,40.87,40.935,40.17,40.55,822366.0,PRFT
2019-11-18,40.66,41.65,40.53,41.6,443205.0,PRFT
2019-11-19,41.68,42.66,41.4241,42.34,318210.0,PRFT
2019-11-20,42.23,42.57,41.54,41.82,308792.0,PRFT
2019-11-21,41.9,41.9,41.18,41.22,233175.0,PRFT
2019-11-22,41.36,41.82,40.7,41.72,292612.0,PRFT
2019-11-25,42.0,42.56,41.88,42.29,364293.0,PRFT
2019-11-26,42.15,43.17,41.81,42.93,362212.0,PRFT
2019-11-27,43.02,43.275,42.63,42.82,176508.0,PRFT
2019-11-29,42.52,42.72,42.06,42.28,114375.0,PRFT
2019-12-02,42.24,42.24,41.5,41.76,302031.0,PRFT
2019-12-03,41.35,42.08,41.0,41.985,192553.0,PRFT
2019-12-04,42.16,42.38,42.08,42.2,196652.0,PRFT
2019-12-05,42.38,42.41,42.0,42.11,187900.0,PRFT
2019-12-06,42.21,42.61,42.05,42.23,267111.0,PRFT
2019-12-09,42.12,42.48,42.05,42.32,274922.0,PRFT
2019-12-10,42.2,42.4635,42.02,42.37,366101.0,PRFT
2019-12-11,42.75,43.88,42.65,43.62,398950.0,PRFT
2019-12-12,43.62,44.24,43.3774,43.99,286166.0,PRFT
2019-12-13,43.96,44.11,43.12,43.26,478216.0,PRFT
2019-12-16,43.66,44.17,43.51,43.68,251523.0,PRFT
2019-12-17,43.62,43.88,43.02,43.77,270881.0,PRFT
2019-12-18,43.89,44.77,43.8812,44.58,262470.0,PRFT
2019-12-19,44.6,45.07,44.44,45.06,363246.0,PRFT
2019-12-20,45.32,45.8,45.22,45.61,799608.0,PRFT
2019-12-23,45.78,46.28,44.705,45.57,706333.0,PRFT
2019-12-24,45.74,45.83,45.37,45.8,181648.0,PRFT
2019-12-26,45.87,46.08,45.41,45.82,265310.0,PRFT
2019-12-27,46.1,46.17,45.4132,45.68,314285.0,PRFT
2019-12-30,45.72,46.24,45.48,46.12,239827.0,PRFT
2019-12-31,45.89,46.48,45.87,46.07,467082.0,PRFT
2020-01-02,46.17,46.44,45.91,46.36,459028.0,PRFT
2020-01-03,45.91,46.78,45.88,46.69,276533.0,PRFT
2020-01-06,46.55,46.66,45.75,45.82,318001.0,PRFT
2020-01-07,45.6,46.065,45.3,45.62,396883.0,PRFT
2020-01-08,45.84,46.86,45.84,46.69,332137.0,PRFT
2020-01-09,46.94,47.37,46.94,47.2,318088.0,PRFT
2020-01-10,47.49,47.96,47.3,47.55,444087.0,PRFT
2020-01-13,47.85,48.76,47.6,48.55,432944.0,PRFT
2020-01-14,48.4,48.95,47.89,48.75,345505.0,PRFT
2020-01-15,48.74,49.94,48.626000000000005,49.4,341297.0,PRFT
2020-01-16,49.64,50.0,49.3241,49.82,305384.0,PRFT
2020-01-17,49.97,50.05,49.09,49.58,206373.0,PRFT
2020-01-21,49.41,49.7,49.152,49.27,464049.0,PRFT
2020-01-22,49.32,49.75,48.865,48.94,278121.0,PRFT
2020-01-23,49.0,49.67,48.39,49.53,498899.0,PRFT
2020-01-24,49.73,50.32,49.2,49.62,528783.0,PRFT
2020-01-27,49.07,49.62,48.52,49.33,207540.0,PRFT
2020-01-28,49.67,50.46,49.54,50.29,254087.0,PRFT
2020-01-29,50.62,50.8039,49.86,50.11,173429.0,PRFT
2020-01-30,50.09,50.575,49.61,50.32,169055.0,PRFT
2020-01-31,50.26,50.33,49.56,49.7,227956.0,PRFT
2020-02-03,49.85,50.89,49.85,50.51,557704.0,PRFT
2020-02-04,51.05,51.76,50.66,51.45,441097.0,PRFT
2020-02-05,51.89,52.1758,51.4083,51.66,465084.0,PRFT
2020-02-06,51.92,52.87,51.92,52.52,345101.0,PRFT
2020-02-07,52.52,52.63,51.66,51.82,450190.0,PRFT
2020-02-10,51.81,52.106,51.37,51.53,375992.0,PRFT
2020-02-11,51.95,52.94,51.54,52.58,303149.0,PRFT
2020-02-12,52.94,52.95,51.6647,52.38,190470.0,PRFT
2020-02-13,52.1,52.92,52.1,52.19,201203.0,PRFT
2020-02-14,52.29,52.37,51.77,52.19,216063.0,PRFT
2020-02-18,52.1,52.84,52.1,52.58,332839.0,PRFT
2020-02-19,52.8,53.49,52.7674,53.15,292690.0,PRFT
2020-02-20,53.17,53.76,51.8401,52.39,421683.0,PRFT
2020-02-21,52.31,52.31,49.6302,50.59,461353.0,PRFT
2020-02-24,46.25,49.42,44.44,49.31,674050.0,PRFT
2020-02-25,49.32,49.32,42.03,44.15,1701541.0,PRFT
2020-02-26,44.15,45.69,43.26,44.06,618340.0,PRFT
2020-02-27,43.02,43.68,41.12,42.01,832027.0,PRFT
2020-02-28,40.13,41.79,39.24,40.97,710006.0,PRFT
2020-03-02,41.37,42.89,40.19,42.84,414762.0,PRFT
