,open,high,low,close,volume,name
2019-11-01,153.75,156.33,153.52,156.09,613198.0,IT
2019-11-04,156.93,158.3,156.235,157.92,585997.0,IT
2019-11-05,157.68,158.27,156.69,157.73,471834.0,IT
2019-11-06,157.33,159.37,156.075,158.42,535715.0,IT
2019-11-07,158.82,160.46,158.82,160.0,397962.0,IT
2019-11-08,159.69,160.79,159.55,160.36,340134.0,IT
2019-11-11,159.09,160.6,158.93,160.53,682402.0,IT
2019-11-12,160.56,161.62,160.13,160.62,555522.0,IT
2019-11-13,160.05,161.02,159.73,160.52,324134.0,IT
2019-11-14,160.06,160.06,156.47,158.56,495925.0,IT
2019-11-15,159.31,160.2,158.0,159.94,258252.0,IT
2019-11-18,159.6,160.72,159.27,159.95,314460.0,IT
2019-11-19,160.68,161.44,159.7,160.25,395461.0,IT
2019-11-20,159.17,160.3,157.36,157.95,786400.0,IT
2019-11-21,157.73,158.38,155.81,158.06,580060.0,IT
2019-11-22,158.32,158.57,156.85,157.0,436404.0,IT
2019-11-25,157.8,160.18,157.1,160.14,665702.0,IT
2019-11-26,161.0,162.73,159.73,162.2,447171.0,IT
2019-11-27,162.12,162.61,160.095,160.69,274473.0,IT
2019-11-29,160.65,161.21,159.68,160.46,153323.0,IT
2019-12-02,160.14,160.6,157.51,157.62,436085.0,IT
2019-12-03,155.48,157.8,155.43,157.65,471817.0,IT
2019-12-04,157.66,159.95,157.65,157.73,324995.0,IT
2019-12-05,158.09,159.0,157.79,158.47,355896.0,IT
2019-12-06,159.5,160.07,159.12,159.68,287161.0,IT
2019-12-09,159.73,160.1,157.49,157.56,312807.0,IT
2019-12-10,157.76,158.43,156.57,156.69,263448.0,IT
2019-12-11,157.15,157.15,155.22,156.98,456876.0,IT
2019-12-12,156.93,159.505,156.55,157.41,456340.0,IT
2019-12-13,156.92,158.78,156.44,157.67,344912.0,IT
2019-12-16,158.35,159.14,157.525,157.94,345726.0,IT
2019-12-17,156.01,156.7,153.24,153.49,805182.0,IT
2019-12-18,154.11,154.2,151.7,152.0,1355526.0,IT
2019-12-19,152.15,154.46,151.88,154.23,571585.0,IT
2019-12-20,155.02,155.99,152.85,153.05,1335479.0,IT
2019-12-23,154.08,154.31,152.9,153.47,822650.0,IT
2019-12-24,154.08,154.2,152.84,153.6,205608.0,IT
2019-12-26,153.67,154.58,153.21,154.03,216375.0,IT
2019-12-27,154.5,154.61,153.39,153.82,369680.0,IT
2019-12-30,153.81,153.99,152.01,152.77,337321.0,IT
2019-12-31,152.5,154.69,152.5,154.1,563854.0,IT
2020-01-02,154.48,156.04,154.48,156.04,769087.0,IT
2020-01-03,153.7,156.5,153.24,155.98,447882.0,IT
2020-01-06,155.33,158.89,155.24,158.86,473015.0,IT
2020-01-07,158.28,158.91,156.46,156.58,477271.0,IT
2020-01-08,156.61,159.13,156.3,158.65,556100.0,IT
2020-01-09,159.56,161.24,158.8,161.16,382016.0,IT
2020-01-10,161.15,161.7619,158.9,159.39,335736.0,IT
2020-01-13,159.48,161.27,157.6,160.93,330503.0,IT
2020-01-14,160.81,162.08,158.73,158.87,257667.0,IT
2020-01-15,159.88,161.14,158.71,158.85,438186.0,IT
2020-01-16,159.71,160.92,159.22,160.92,631793.0,IT
2020-01-17,161.21,162.54,160.69,161.17,369168.0,IT
2020-01-21,160.25,162.76,160.25,161.23,413177.0,IT
2020-01-22,162.1,162.99,160.77,160.93,474679.0,IT
2020-01-23,161.02,161.58,159.74,161.27,185984.0,IT
2020-01-24,162.23,162.72,160.2103,160.57,217379.0,IT
2020-01-27,157.85,160.5273,156.01,159.63,310511.0,IT
2020-01-28,161.04,162.24,160.29,161.55,404900.0,IT
2020-01-29,162.22,163.61,161.56,162.14,240525.0,IT
2020-01-30,161.29,163.54,160.47,163.25,250494.0,IT
2020-01-31,162.86,162.86,159.72,160.78,386361.0,IT
2020-02-03,162.06,165.265,162.06,163.85,623284.0,IT
2020-02-04,155.52,159.64,153.55,154.0,2092695.0,IT
2020-02-05,154.0,155.68,153.8,154.31,1664717.0,IT
2020-02-06,155.06,156.27,153.71,154.29,794693.0,IT
2020-02-07,154.19,154.66,151.65,152.58,565107.0,IT
2020-02-10,152.31,152.71,148.25,149.17,1715271.0,IT
2020-02-11,149.61,152.67,149.4,152.08,1023461.0,IT
2020-02-12,153.33,154.065,151.5,151.55,1430384.0,IT
2020-02-13,150.97,152.67,150.69,150.88,699822.0,IT
2020-02-14,151.41,152.55,151.28,152.41,475731.0,IT
2020-02-18,152.53,153.35,151.72,152.66,594544.0,IT
2020-02-19,153.2,154.89,152.96,153.7,411602.0,IT
2020-02-20,153.89,155.885,153.28,154.95,500162.0,IT
2020-02-21,154.2,155.57,153.26,155.46,466560.0,IT
2020-02-24,150.02,153.45,149.15,149.18,629894.0,IT
2020-02-25,149.5,150.49,140.615,141.1,731243.0,IT
2020-02-26,141.62,143.08,138.09,138.64,732313.0,IT
2020-02-27,136.08,138.17,131.11,131.29,979414.0,IT
2020-02-28,128.38,131.5278,126.9,129.39,1424150.0,IT
2020-03-02,130.23,131.63,126.12,129.8,2230982.0,IT
2020-03-03,130.41,132.91,125.49,125.84,1429814.0,IT
2020-03-04,127.28,127.61,124.06,126.02,1938323.0,IT
2020-03-05,123.39,126.49,123.01,125.58,1887107.0,IT
2020-03-06,122.09,123.27,117.3,120.16,1125872.0,IT
2020-03-09,113.5,114.38,109.9875,110.12,1932363.0,IT
2020-03-10,110.4,114.185,107.41,114.11,1808289.0,IT
2020-03-11,111.18,112.28,106.0,107.18,1751962.0,IT
2020-03-12,99.06,103.5,96.27,102.34,2323717.0,IT
2020-03-13,106.56,108.18,98.705,106.31,1578059.0,IT
2020-03-16,91.23,103.55,90.95,92.75,1447301.0,IT
2020-03-17,94.86,97.3012,82.86,90.01,1277139.0,IT
2020-03-18,84.12,90.2395,76.91,83.38,1332849.0,IT
2020-03-19,83.0,94.0,82.63,92.95,1010982.0,IT
2020-03-20,94.38,94.38,82.38,83.24,1417052.0,IT
2020-03-23,83.11,85.9899,77.28,85.02,1139785.0,IT
2020-03-24,88.88,93.03,87.63,91.66,821532.0,IT
2020-03-25,90.79,94.97,84.815,90.31,1763020.0,IT
2020-03-26,90.68,105.6,88.82,105.12,2848054.0,IT
2020-03-27,101.46,108.2488,100.84,104.79,1725587.0,IT
2020-03-30,104.79,109.35,102.139,107.81,1255903.0,IT
2020-03-31,107.0,109.155,99.04,99.57,1763599.0,IT
2020-04-01,95.52,96.21,92.49,93.29,781099.0,IT
2020-04-02,91.88,94.92,90.18,94.1,1204463.0,IT
2020-04-03,93.79,94.2934,88.81,91.82,806288.0,IT
